id,eventID,eventDate,geodeticDatum,countryCode,locationID,eventRemarks,decimalLatitude,decimalLongitude,minimumDepthInMeters,maximumDepthInMeters,coordinateUncertaintyInMeters
MDIBL-habs_MDIBL_Dock_22G_2004-08-02T17:30:00UTC,MDIBL_Dock_22G_2004-08-02T17:30:00UTC,2004-08-02T17:30:00Z,EPSG:4326 WGS84,US,MDIBL_Dock_22G,"NA|NA",44.39152,-68.192764,0.5,4.38,5
MDIBL-habs_Bass_Harbor_21B_2004-08-03T12:15:00UTC,Bass_Harbor_21B_2004-08-03T12:15:00UTC,2004-08-03T12:15:00Z,EPSG:4326 WGS84,US,Bass_Harbor_21B,"NA|Wispy fog swirling among the coves and inlets",44.2347384,-68.34908401,0.5,2,200
MDIBL-habs_SWH_Beals_21A_2004-08-03T12:50:00UTC,SWH_Beals_21A_2004-08-03T12:50:00UTC,2004-08-03T12:49:59Z,EPSG:4326 WGS84,US,SWH_Beals_21A,"NA|NA",44.2749688,-68.31374237,0.5,2,10
MDIBL-habs_Anchorage_Alpha_22A_2004-08-06T14:30:00UTC,Anchorage_Alpha_22A_2004-08-06T14:30:00UTC,2004-08-06T14:30:00Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|Very glassy surface",44.39145975,-68.19188395,0.5,6,450
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2004-08-09T14:05:00UTC,Bar_Harbor_Town_Pier_22D_2004-08-09T14:05:00UTC,2004-08-09T14:05:00Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|Disk hit bottom. Oil or soap (?) on surface",44.402771,-68.202588,0.5,3,5
MDIBL-habs_Bass_Harbor_21B_2004-08-10T15:15:00UTC,Bass_Harbor_21B_2004-08-10T15:15:00UTC,2004-08-10T15:15:00Z,EPSG:4326 WGS84,US,Bass_Harbor_21B,"NA|NA",44.2347384,-68.34908401,0.5,3,200
MDIBL-habs_SWH_Beals_21A_2004-08-10T15:45:00UTC,SWH_Beals_21A_2004-08-10T15:45:00UTC,2004-08-10T15:45:00Z,EPSG:4326 WGS84,US,SWH_Beals_21A,"NA|Disk hit bottom",44.2749688,-68.31374237,0.5,3,10
MDIBL-habs_MDIBL_Dock_22G_2004-08-11T13:55:00UTC,MDIBL_Dock_22G_2004-08-11T13:55:00UTC,2004-08-11T13:54:59Z,EPSG:4326 WGS84,US,MDIBL_Dock_22G,"NA|disk hit bottom",44.39152,-68.192764,0.5,4,5
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2004-08-21T14:10:00UTC,Bar_Harbor_Town_Pier_22D_2004-08-21T14:10:00UTC,2004-08-21T14:10:00Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|Trawler ""Heidi and Heather next to us",44.402771,-68.202588,0.5,4,5
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2004-09-07T18:15:00UTC,Bar_Harbor_Town_Pier_22D_2004-09-07T18:15:00UTC,2004-09-07T18:15:00Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,Other Phytoplankton=Diplopsalis|NA,44.402771,-68.202588,0.5,3,5
MDIBL-habs_Anchorage_Alpha_22A_2004-09-10T17:15:00UTC,Anchorage_Alpha_22A_2004-09-10T17:15:00UTC,2004-09-10T17:15:00Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|NA",44.39145975,-68.19188395,0.5,35,450
MDIBL-habs_Anchorage_Alpha_22A_2004-09-12T19:45:00UTC,Anchorage_Alpha_22A_2004-09-12T19:45:00UTC,2004-09-12T19:45:00Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|NA",44.39145975,-68.19188395,0.5,4,450
MDIBL-habs_Anchorage_Alpha_22A_2004-09-14T15:50:00UTC,Anchorage_Alpha_22A_2004-09-14T15:50:00UTC,2004-09-14T15:49:59Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|NA",44.39145975,-68.19188395,0.5,5,450
MDIBL-habs_Anchorage_Alpha_22A_2004-09-15T15:25:00UTC,Anchorage_Alpha_22A_2004-09-15T15:25:00UTC,2004-09-15T15:24:59Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|NA",44.39145975,-68.19188395,0.5,5.5,450
MDIBL-habs_Anchorage_Alpha_22A_2004-09-16T16:00:00UTC,Anchorage_Alpha_22A_2004-09-16T16:00:00UTC,2004-09-16T16:00:00Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|NA",44.39145975,-68.19188395,0.5,5,450
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2004-09-17T13:25:00UTC,Bar_Harbor_Town_Pier_22D_2004-09-17T13:25:00UTC,2004-09-17T13:25:00Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|NA",44.402771,-68.202588,0.5,3.4,5
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2004-09-21T15:25:00UTC,Bar_Harbor_Town_Pier_22D_2004-09-21T15:25:00UTC,2004-09-21T15:24:59Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|Transparency note: Disk hit bottom",44.402771,-68.202588,0.5,2.5,5
MDIBL-habs_Anchorage_Alpha_22A_2004-09-23T15:36:00UTC,Anchorage_Alpha_22A_2004-09-23T15:36:00UTC,2004-09-23T15:36:00Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|NA",44.39145975,-68.19188395,0.5,4,450
MDIBL-habs_Anchorage_Alpha_22A_2004-09-24T15:45:00UTC,Anchorage_Alpha_22A_2004-09-24T15:45:00UTC,2004-09-24T15:45:00Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|NA",44.39145975,-68.19188395,0.5,3.5,450
MDIBL-habs_Anchorage_Alpha_22A_2004-09-27T15:30:00UTC,Anchorage_Alpha_22A_2004-09-27T15:30:00UTC,2004-09-27T15:29:59Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|Sulfur smell.",44.39145975,-68.19188395,0.5,2,450
MDIBL-habs_Anchorage_Alpha_22A_2004-09-30T17:15:00UTC,Anchorage_Alpha_22A_2004-09-30T17:15:00UTC,2004-09-30T17:15:00Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|NA",44.39145975,-68.19188395,0.5,5,450
MDIBL-habs_Anchorage_Alpha_22A_2004-10-06T15:55:00UTC,Anchorage_Alpha_22A_2004-10-06T15:55:00UTC,2004-10-06T15:54:59Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|Rotting algae smells",44.39145975,-68.19188395,0.5,4,450
MDIBL-habs_Anchorage_Alpha_22A_2004-10-10T16:13:00UTC,Anchorage_Alpha_22A_2004-10-10T16:13:00UTC,2004-10-10T16:12:59Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|NA",44.39145975,-68.19188395,0.5,NA,450
MDIBL-habs_Anchorage_Alpha_22A_2004-10-10T17:00:00UTC,Anchorage_Alpha_22A_2004-10-10T17:00:00UTC,2004-10-10T16:59:59Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|NA",44.39145975,-68.19188395,0.5,4.8,450
MDIBL-habs_Anchorage_Alpha_22A_2004-10-10T17:30:00UTC,Anchorage_Alpha_22A_2004-10-10T17:30:00UTC,2004-10-10T17:30:00Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|Bubbles",44.39145975,-68.19188395,0.5,NA,450
MDIBL-habs_Anchorage_Bravo_22B_2004-10-15T15:54:00UTC,Anchorage_Bravo_22B_2004-10-15T15:54:00UTC,2004-10-15T15:54:00Z,EPSG:4326 WGS84,US,Anchorage_Bravo_22B,"NA|NA",44.40379014,-68.20522976,0.5,6.33,350
MDIBL-habs_Anchorage_Alpha_22A_2004-10-16T15:50:00UTC,Anchorage_Alpha_22A_2004-10-16T15:50:00UTC,2004-10-16T15:49:59Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|NA",44.39145975,-68.19188395,0.5,5,450
MDIBL-habs_Anchorage_Bravo_22B_2004-10-18T17:45:00UTC,Anchorage_Bravo_22B_2004-10-18T17:45:00UTC,2004-10-18T17:44:59Z,EPSG:4326 WGS84,US,Anchorage_Bravo_22B,"NA|NA",44.40379014,-68.20522976,0.5,5.25,350
MDIBL-habs_SWH_Beals_21A_2004-10-19T18:10:00UTC,SWH_Beals_21A_2004-10-19T18:10:00UTC,2004-10-19T18:09:59Z,EPSG:4326 WGS84,US,SWH_Beals_21A,"NA|NA",44.2749688,-68.31374237,0.5,4,10
MDIBL-habs_Anchorage_Alpha_22A_2004-11-04T16:45:00UTC,Anchorage_Alpha_22A_2004-11-04T16:45:00UTC,2004-11-04T16:45:00Z,EPSG:4326 WGS84,US,Anchorage_Alpha_22A,"NA|NA",44.39145975,-68.19188395,0.5,5,450
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2004-11-18T14:30:00UTC,Bar_Harbor_Town_Pier_22D_2004-11-18T14:30:00UTC,2004-11-18T14:30:00Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|Disk hit bottom",44.402771,-68.202588,0.5,2,5
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2004-12-16T14:45:00UTC,Bar_Harbor_Town_Pier_22D_2004-12-16T14:45:00UTC,2004-12-16T14:44:59Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|Transparency note: disk hit bottom. D.O. note: Air bubble in one of the D.O. bottle.",44.402771,-68.202588,0.5,2.5,5
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2005-01-03T16:40:00UTC,Bar_Harbor_Town_Pier_22D_2005-01-03T16:40:00UTC,2005-01-03T16:39:59Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|Do more than 5 min. tow next time.",44.402771,-68.202588,0.5,4,5
MDIBL-habs_Northeast_Harbor_21C_2005-01-11T14:10:00UTC,Northeast_Harbor_21C_2005-01-11T14:10:00UTC,2005-01-11T14:10:00Z,EPSG:4326 WGS84,US,Northeast_Harbor_21C,"DO kept being more than .4 difference so students completed many trials to get the average|ferry boat at ramp, kelp under dock, students with tow net misunderstood directions and towed 15 up and down cycles-could account for low numbers of phytoplankton",44.29663082,-68.28161929,0.5,6.5,200
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2005-01-26T14:15:00UTC,Bar_Harbor_Town_Pier_22D_2005-01-26T14:15:00UTC,2005-01-26T14:15:00Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|Deathly cold",44.402771,-68.202588,0.5,1.09,5
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2005-02-17T14:20:00UTC,Bar_Harbor_Town_Pier_22D_2005-02-17T14:20:00UTC,2005-02-17T14:19:59Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|Secchi disk hit bottom",44.402771,-68.202588,0.5,2.5,5
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2005-03-11T17:45:00UTC,Bar_Harbor_Town_Pier_22D_2005-03-11T17:45:00UTC,2005-03-11T17:44:59Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|Ice on the dock",44.402771,-68.202588,0.5,3.5,5
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2005-03-16T17:45:00UTC,Bar_Harbor_Town_Pier_22D_2005-03-16T17:45:00UTC,2005-03-16T17:44:59Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|trucks dumping snow. Birds being fed, lots of gulls and pigeons",44.402771,-68.202588,0.5,4,5
MDIBL-habs_SWH_Beals_21A_2005-03-17T13:00:00UTC,SWH_Beals_21A_2005-03-17T13:00:00UTC,2005-03-17T13:00:00Z,EPSG:4326 WGS84,US,SWH_Beals_21A,"We saw a mystery species that was not in any FOV recorded, and it was determined to be Fragilaria.|Cold water, Calm day",44.2749688,-68.31374237,0.5,3,10
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2005-03-23T17:45:00UTC,Bar_Harbor_Town_Pier_22D_2005-03-23T17:45:00UTC,2005-03-23T17:44:59Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|the disk hit the bottom",44.402771,-68.202588,0.5,3,5
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2005-03-25T18:45:00UTC,Bar_Harbor_Town_Pier_22D_2005-03-25T18:45:00UTC,2005-03-25T18:45:00Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|pier moved a lot, unsteady, we lost sight of the net",44.402771,-68.202588,0.5,2.8,5
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2005-03-30T17:55:00UTC,Bar_Harbor_Town_Pier_22D_2005-03-30T17:55:00UTC,2005-03-30T17:55:00Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|3.75 inches of rain previous day, barge was scraping rusty deck into harbor… iron… bird droppings, net was dragged under the pier.",44.402771,-68.202588,0.5,3,5
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2005-03-31T14:15:00UTC,Bar_Harbor_Town_Pier_22D_2005-03-31T14:15:00UTC,2005-03-31T14:15:00Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"3 DO tests ran, two from the same bottle: the second from one bottle was 11|Low tide, secchi disk hit the bottom, the water was cloudy",44.402771,-68.202588,0.5,2,5
MDIBL-habs_SWH_Beals_21A_2005-04-04T12:40:00UTC,SWH_Beals_21A_2005-04-04T12:40:00UTC,2005-04-04T12:40:00Z,EPSG:4326 WGS84,US,SWH_Beals_21A,"bod run late. Supposed to be run 4/9/05|gas slick on water surface, lots of floating seaweed",44.2749688,-68.31374237,0.5,3.5,10
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2005-04-06T17:00:00UTC,Bar_Harbor_Town_Pier_22D_2005-04-06T17:00:00UTC,2005-04-06T16:59:59Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"BOD has a chunk of algea in it|disk hit bottom, boats recently fueled",44.402771,-68.202588,0.5,3,5
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2005-04-13T17:00:00UTC,Bar_Harbor_Town_Pier_22D_2005-04-13T17:00:00UTC,2005-04-13T16:59:59Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,bod was done on 4/20/05|we did not have an aquascope and the was a bilge pump right next to the dock,44.402771,-68.202588,0.5,9,5
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2005-04-15T13:15:00UTC,Bar_Harbor_Town_Pier_22D_2005-04-15T13:15:00UTC,2005-04-15T13:14:59Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,other=23 fragilaria+1 Gymnodinium|The disk hit the bottom,44.402771,-68.202588,0.5,2.5,5
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2005-04-27T17:35:00UTC,Bar_Harbor_Town_Pier_22D_2005-04-27T17:35:00UTC,2005-04-27T17:35:00Z,EPSG:4326 WGS84,US,Bar_Harbor_Town_Pier_22D,"NA|NA",44.402771,-68.202588,0.5,3,5
