attributeName	code	definition
measurementType	tide_height	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	tide_stage	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	time_high_tide	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	time_low_tide	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	wind_direction	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	wind_description	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	wind_speed_knots	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	weather	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	water_surface	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	water_current	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	water_temp	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	air_temp	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	salinity_ppt	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	bottom_depth_m	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	pH	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	nitrate_plus_nitrite	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	ammonium	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	orthophosphate	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	silicate	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	transparency_depth_mean	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	descending_transparency	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	ascending_transparency	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	monitor_names	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	DO1_ppm	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	DO2_ppm	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	DOavg_ppm	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	DO1_day5_ppm	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	DO2_day5_ppm	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	DO_day5_avg	"The nature of the measurement, fact, characteristic, or assertion."
measurementType	bod	"The nature of the measurement, fact, characteristic, or assertion."
measurementID	Bathymetry and Elevation	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	Tide stage	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	Time high tide	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	Time low tide	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	wind_from_direction	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	beaufort_wind_force	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	wind_speed	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	WMOPresWeath	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	Sea and swell scale	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	Water movement	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	Water temperature	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	air_temperature	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	Absolute salinity of the water body	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	pH	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	nitrate+nitrite	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	ammonium	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	phosphate	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	silicate	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	Secchi	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	Personnel	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	WC_O2	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementID	BOD	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementTypeID	http://vocab.nerc.ac.uk/collection/P02/current/MBAN/	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementTypeID	http://vocab.nerc.ac.uk/collection/P06/current/UUUU/	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementTypeID	http://vocab.nerc.ac.uk/collection/P07/current/CFSN0036/	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
measurementTypeID	http://vocab.nerc.ac.uk/collection/P07/current/CFV7N45/	"An identifier for the MeasurementOrFact (information pertaining to measurements, facts, characteristics, or assertions). May be a global unique identifier or an identifier specific to the data set."
