attributeName	code	definition
basisOfRecord	HumanObservation	The specific nature of the data record.
kingdom	Chromista	The full scientific name of the kingdom in which the taxon is classified.
occurrenceStatus	absent	A statement about the presence or absence of a Taxon at a Location.
occurrenceStatus	present	A statement about the presence or absence of a Taxon at a Location.
organismName	Alexandrium	A textual name or label assigned to an Organism instance.
organismName	Ceratium	A textual name or label assigned to an Organism instance.
organismName	Chaetoceros_socialis	A textual name or label assigned to an Organism instance.
organismName	Chaetoceros_spp	A textual name or label assigned to an Organism instance.
organismName	Coscinodiscus	A textual name or label assigned to an Organism instance.
organismName	Dictyocha	A textual name or label assigned to an Organism instance.
organismName	Dinophysis_acuminata	A textual name or label assigned to an Organism instance.
organismName	Dinophysis_norvegica	A textual name or label assigned to an Organism instance.
organismName	Dinophysis_spp	A textual name or label assigned to an Organism instance.
organismName	Ditylum	A textual name or label assigned to an Organism instance.
organismName	Eucampia	A textual name or label assigned to an Organism instance.
organismName	Gonyaulax	A textual name or label assigned to an Organism instance.
organismName	Guinardia	A textual name or label assigned to an Organism instance.
organismName	Gymnodinium	A textual name or label assigned to an Organism instance.
organismName	Gyrosigma	A textual name or label assigned to an Organism instance.
organismName	Karenia	A textual name or label assigned to an Organism instance.
organismName	Leptocylindrus	A textual name or label assigned to an Organism instance.
organismName	Licmophora	A textual name or label assigned to an Organism instance.
organismName	Margalefidinium_polykrikoides	A textual name or label assigned to an Organism instance.
organismName	Melosira	A textual name or label assigned to an Organism instance.
organismName	Navicula	A textual name or label assigned to an Organism instance.
organismName	Nitzschia	A textual name or label assigned to an Organism instance.
organismName	Other_phytoplankton	A textual name or label assigned to an Organism instance.
organismName	Phaeocystis	A textual name or label assigned to an Organism instance.
organismName	Pleurosigma	A textual name or label assigned to an Organism instance.
organismName	Prorocentrum_lima	A textual name or label assigned to an Organism instance.
organismName	Prorocentrum_spp	A textual name or label assigned to an Organism instance.
organismName	Protoperidinium	A textual name or label assigned to an Organism instance.
organismName	Pseudo_nitzchia_spp	A textual name or label assigned to an Organism instance.
organismName	Pseudo_nitzschia_large	A textual name or label assigned to an Organism instance.
organismName	Pseudo_nitzschia_small	A textual name or label assigned to an Organism instance.
organismName	Rhizosolenia	A textual name or label assigned to an Organism instance.
organismName	Thalassionema	A textual name or label assigned to an Organism instance.
organismName	Thalassiosira	A textual name or label assigned to an Organism instance.
organismQuantityType	Cells per L	The type of quantification system used for the quantity of organisms.
organismQuantityType	Relative Abundance	The type of quantification system used for the quantity of organisms.
scientificName	Alexandrium	A textual name or label assigned to an Organism instance.
scientificName	Ceratium	A textual name or label assigned to an Organism instance.
scientificName	Chaetoceros	A textual name or label assigned to an Organism instance.
scientificName	Chaetoceros socialis	A textual name or label assigned to an Organism instance.
scientificName	Chromista	A textual name or label assigned to an Organism instance.
scientificName	Coscinodiscus	A textual name or label assigned to an Organism instance.
scientificName	Dictyocha	A textual name or label assigned to an Organism instance.
scientificName	Dinophysis	A textual name or label assigned to an Organism instance.
scientificName	Dinophysis acuminata	A textual name or label assigned to an Organism instance.
scientificName	Dinophysis norvegica	A textual name or label assigned to an Organism instance.
scientificName	Ditylum	A textual name or label assigned to an Organism instance.
scientificName	Eucampia	A textual name or label assigned to an Organism instance.
scientificName	Gonyaulax	A textual name or label assigned to an Organism instance.
scientificName	Guinardia	A textual name or label assigned to an Organism instance.
scientificName	Gymnodinium	A textual name or label assigned to an Organism instance.
scientificName	Gyrosigma	A textual name or label assigned to an Organism instance.
scientificName	Karenia	A textual name or label assigned to an Organism instance.
scientificName	Leptocylindrus	A textual name or label assigned to an Organism instance.
scientificName	Licmophora	A textual name or label assigned to an Organism instance.
scientificName	Margalefidinium polykrikoides   	A textual name or label assigned to an Organism instance.
scientificName	Melosira	A textual name or label assigned to an Organism instance.
scientificName	Navicula	A textual name or label assigned to an Organism instance.
scientificName	Nitzschia	A textual name or label assigned to an Organism instance.
