id,basisOfRecord,organismName,organismQuantity,organismQuantityType,occurrenceID,occurrenceStatus,scientificName,scientificNameID,taxonID,kingdom
HABs-CalPoly_2008-08-15T19:00:00Z,HumanObservation,Akashiwo_sanguinea,3198.8298,cells/L,HABs-CalPoly_2008-08-15T19:00:00Z_Akashiwo_sanguinea,present,Akashiwo sanguinea,(urn:lsid:marinespecies.org:taxname:232546),urn:lsid:algaebase.org:taxname:93473,Chromista
HABs-CalPoly_2008-08-15T19:00:00Z,HumanObservation,Alexandrium_spp,9596.489,cells/L,HABs-CalPoly_2008-08-15T19:00:00Z_Alexandrium_spp,present,Alexandrium,(urn:lsid:marinespecies.org:taxname:109470),urn:lsid:algaebase.org:taxname:6378,Chromista
HABs-CalPoly_2008-08-15T19:00:00Z,HumanObservation,Ceratium,1066.2766,cells/L,HABs-CalPoly_2008-08-15T19:00:00Z_Ceratium,present,Ceratium,(urn:lsid:marinespecies.org:taxname:109506),urn:lsid:algaebase.org:taxname:6795,Chromista
HABs-CalPoly_2008-08-15T19:00:00Z,HumanObservation,Dinophysis_spp,0,cells/L,HABs-CalPoly_2008-08-15T19:00:00Z_Dinophysis_spp,absent,Dinophysis,(urn:lsid:marinespecies.org:taxname:109462),urn:lsid:algaebase.org:taxname:6356,Chromista
HABs-CalPoly_2008-08-15T19:00:00Z,HumanObservation,Gymnodinium_spp,1066.2766,cells/L,HABs-CalPoly_2008-08-15T19:00:00Z_Gymnodinium_spp,present,Gymnodinium,(urn:lsid:marinespecies.org:taxname:109475),urn:lsid:algaebase.org:taxname:6790,Chromista
HABs-CalPoly_2008-08-15T19:00:00Z,HumanObservation,Lingulodinium_polyedra,0,cells/L,HABs-CalPoly_2008-08-15T19:00:00Z_Lingulodinium_polyedra,absent,Lingulodinium polyedra,(urn:lsid:marinespecies.org:taxname:233592),urn:lsid:algaebase.org:taxname:50026,Chromista
HABs-CalPoly_2008-08-15T19:00:00Z,HumanObservation,Prorocentrum_spp,30922.021,cells/L,HABs-CalPoly_2008-08-15T19:00:00Z_Prorocentrum_spp,present,Prorocentrum,(urn:lsid:marinespecies.org:taxname:109566),urn:lsid:algaebase.org:taxname:6782,Chromista
HABs-CalPoly_2008-08-15T19:00:00Z,HumanObservation,Pseudo_nitzschia_delicatissima_group,0,cells/L,HABs-CalPoly_2008-08-15T19:00:00Z_Pseudo_nitzschia_delicatissima_group,absent,Pseudo-nitzschia delicatissima,(urn:lsid:marinespecies.org:taxname:149153),NA,Chromista
HABs-CalPoly_2008-08-15T19:00:00Z,HumanObservation,Pseudo_nitzschia_seriata_group,3198.8298,cells/L,HABs-CalPoly_2008-08-15T19:00:00Z_Pseudo_nitzschia_seriata_group,present,Pseudo-nitzschia seriata,(urn:lsid:marinespecies.org:taxname:149152),NA,Chromista
HABs-MontereyWharf_2019-05-03T07:00:00Z,HumanObservation,Cochlodinium,220,cells/L,HABs-MontereyWharf_2019-05-03T07:00:00Z_Cochlodinium,present,Cochlodinium,(urn:lsid:marinespecies.org:taxname:109474),urn:lsid:algaebase.org:taxname:6362,Chromista
