id,eventID,site,locationID,geodeticDatum,decimalLatitude,decimalLongitude,countryCode,coordinateUncertaintyInMeters,eventDate,date_emailed_to_DMR,BOD_date,air_temp,water_temp,weather,rainfall_mm,wind_direction,wind_speed_knots,water_surface,water_current,tide_stage,tide_height,monitor_names,eventRemarks,salinity_ppt,DO1_ppm,DO2_ppm,DOavg_ppm,DO1_day5_ppm,DO2_day5_ppm,DO2_day5_avg,bod,transparency_depth_mean,sampling_method,minimumDepthInMeters,maximumDepthInMeters,Alexandrium,Ceratium,Chaetoceros_spp,Chaetoceros_socialis,Coscinodiscus,Dictyocha,Ditylum,Dinophysis_spp,Eucampia,Gonyaulax,Guinardia,Gymnodinium,Gyrosigma,Licmophora,Leptocylindrus,Melosira,Navicula,Nitzschia,Phaeocystis,Pleurosigma,Prorocentrum_spp,Prorocentrum_lima,Protoperidinium,Pseudo_nitzschia_small,Pseudo_nitzschia_large,Pseudo_nitzchia_spp,Rhizosolenia,Thalassionema,Thalassiosira,Other_phytoplankton,total_phytoplankton,too_numerous_to_count_grid_num
MDIBL-habs_22D_2007-03-14T14:05:00UTC,22D_2007-03-14T14:05:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2007-03-14T14:05:00UTC,NA,NA,13,11,Overcast,NA,270,16,Whitecaps,Medium,NA,NA,Durrant A,"Species count in ""other"": 1 Odentella, 3 Other|NA",33,8.8,8.6,8.7,NA,NA,NA,NA,5.6,Filter,0.5,NA,39,0,490,0,0,0,0,12,0,12,0,0,0,0,9,4,36,15,0,0,0,0,0,0,0,0,1,0,19,4,641,NA
MDIBL-habs_22D_2007-05-08T17:35:00UTC,22D_2007-05-08T17:35:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2007-05-08T17:35:00UTC,NA,NA,19,6,Clear,0,90,7,Ripple,Low,NA,NA,Richards,"Species count in ""other"": 1 Odentella, 2 Harpacticiods (1 with eggs)|NA",34,9.8,9.8,9.8,NA,NA,NA,NA,3.2,Filter,0.5,NA,0,0,3,0,0,0,9,0,0,3,0,0,0,1,3,0,9,0,0,0,0,0,0,0,0,0,0,0,4,3,35,NA
MDIBL-habs_23A_2007-05-29T13:45:00UTC,23A_2007-05-29T13:45:00UTC,Bass Harbor,23A,EPSG:4326 WGS84,44.2347384,-68.34908401,US,200,2007-05-29T13:45:00UTC,NA,NA,18,9.5,Clear,NA,315,5,Ripple,None,NA,NA,Spiker,"Species Count in ""other"": 6 Cylindrotheca|Tube # 3 - good sample.  Tube #1 & 2 can be combined.",33,NA,NA,NA,NA,NA,NA,NA,NA,Filter,0.5,NA,0,0,26,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,6,50,NA
MDIBL-habs_23A_2007-06-05T18:10:00UTC,23A_2007-06-05T18:10:00UTC,Bass Harbor,23A,EPSG:4326 WGS84,44.2347384,-68.34908401,US,200,2007-06-05T18:10:00UTC,NA,NA,12,9,Fog,NA,135,2,Ripple,None,NA,NA,Spiker,"Elliott does not take measurements of other field and environmental data.  Chaetoceros is common, Thalassiosira is abundant.  Species count in ""other"": 2 Cylindrotheca.|Near high tide-rising",NA,NA,NA,NA,NA,NA,NA,NA,NA,Filter,0.5,NA,2,1,0,0,7,0,0,13,0,0,0,0,0,0,0,0,7,0,0,5,0,0,9,0,0,0,3,4,0,2,53,NA
MDIBL-habs_23A_2007-06-15T13:45:00UTC,23A_2007-06-15T13:45:00UTC,Bass Harbor,23A,EPSG:4326 WGS84,44.2347384,-68.34908401,US,200,2007-06-15T13:45:00UTC,2007-06-18,NA,17.5,9.5,NA,NA,90,5,NA,NA,In,1.524,not_recorded,"Ariel did identification.  I do not have the original data sheet. Species count in ""other"": 2 Asterionellopsis.|NA",33,NA,NA,NA,NA,NA,NA,NA,NA,Filter,0.5,NA,368,0,1020,0,0,0,0,32,0,0,0,0,24,0,4,0,30,24,0,0,0,0,0,0,0,28,0,96,840,2,1668,NA
MDIBL-habs_22D_2007-06-19T13:30:00UTC,22D_2007-06-19T13:30:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2007-06-19T13:30:00UTC,2007-06-19,NA,17,12,Clear,NA,225,4,Ripple,NA,NA,NA,not_recorded,"Species count in ""other"": 2 Fragilaria, 1 Asterionellopsis, 5 Other.|Lobster boat",34,8.2,7.9,8.05,NA,NA,NA,NA,3,Filter,0.5,NA,85,0,489,0,0,1,0,2,0,8,0,1,8,18,2,1,8,17,0,0,0,0,0,0,0,0,0,1,75,8,724,NA
MDIBL-habs_23A_2007-06-22T10:40:00UTC,23A_2007-06-22T10:40:00UTC,Bass Harbor,23A,EPSG:4326 WGS84,44.2347384,-68.34908401,US,200,2007-06-22T10:40:00UTC,2007-06-22,NA,14.5,11,Clear,NA,NA,NA,Calm,None,NA,NA,not_recorded,"Species count placed in ""other"": 15 Diplopsalis, 2 Fragilaria, 3 Ceratium lineatum, 2 Corinthion, 3 Skelelonema, 9 Othe, 1 Asterionellopsis.|Oils slicks, lots of seaweed grunge, a few boats, moderate traffic.  Seaweed debri practically clogged filter.",NA,8.8,8.8,8.8,NA,NA,NA,NA,NA,Filter,0.5,NA,893,2,84,0,0,6,0,105,0,112,6,83,49,3,0,1,66,5,0,0,0,0,37,0,0,8,1,25,11,35,1612,NA
MDIBL-habs_22D_2007-06-25T15:34:00UTC,22D_2007-06-25T15:34:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2007-06-25T15:34:00UTC,NA,NA,20,12,Clear,0,225,1,Calm,None,Out,3.3528000000000002,Aquino,"Counted 50 grids in one row on a Sedgewick Rafter Slide and multiplied totals by 4|motorboat with dog came in. 16 ml. of sample, could see bottom.",33,8.2,8.7,8.45,NA,NA,NA,NA,3.45,Filter,0.5,NA,88,0,1628,0,0,4,0,112,0,12,4,24,16,44,0,0,80,8,0,0,0,0,40,0,0,0,0,0,48,0,2108,NA
MDIBL-habs_27B_2007-06-29T15:30:00UTC,27B_2007-06-29T15:30:00UTC,The Hop,27B,EPSG:4326 WGS84,44.41317145,-68.15509966,US,10,2007-06-29T15:30:00UTC,NA,2007-07-04T04:00:00Z,15,12.7,Partly Cloudy,0,315,7,Ripple,Low,NA,2.4384,Aquino,BOD bottles did not go into solution|Jellyfish found at both locations.,31,9.1,9.7,9.4,NA,NA,NA,NA,6.25,Filter,0.5,NA,2,0,176,0,0,0,0,10,0,1,0,0,2,0,0,0,1,3,0,0,0,0,3,0,0,0,1,0,0,3,202,NA
MDIBL-habs_22D_2007-07-02T14:55:00UTC,22D_2007-07-02T14:55:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2007-07-02T14:55:00UTC,NA,NA,17,12,Partly Cloudy,0,315,10,Calm,None,In,1.2192,Aquino,"NA|Sample thick -- slow to drain.",33,10,9.5,9.75,NA,NA,NA,NA,2.42,Filter,0.5,NA,1,0,62,0,0,0,0,69,0,0,0,0,0,5,0,0,23,6,0,0,0,0,1,0,0,0,0,0,2,4,172,NA
