funding_source,site,station_id,date,time,rain_inches,tide_state,time_low_tide,time_high_tide,water_temp,air_temp,wind_speed_knots,tow_depth,transparency_depth_mean,salinity_ppt,water_current,weather,water_surface,field_comment,DO1_ppm,DO2_ppm,DOavg_ppm,DO1_day5_ppm,DO2_day5_ppm,DO2_day5_avg,BOD_date,bod,alexandrium,ceratium,chaetoceros_spp,chaetoceros_socialis,coscinodiscus,dictyocha,ditylum,dinophysis,eucampia,gonyaulax,guinardia,gyrosigma,licmophora,leptocylindrus,melosira,navicula,nitzschia,phaeocystis,pleurosigma,prorocentrum,prorocentrum_lima,protoperidinium,pseudo_nitzchia_spp,rhizosolenia,thalassioneman,thalassiosira,other_phytoplankton,dominant_phytoplankter1,total_phytoplankton,lab_comments,tide_stage,date_emailed_to_DMR,monitor_name,sampling_method,dominant_phytoplankter2,dominant_phytoplankter3,gymnodinium,wind_direction,nitrate_plus_nitrite,ammonia,orthophosphate,silicic_acid,pseudo_nitzschia_small,pseudo_nitzschia_large,too_numerous_to_count_at_num,nutrient_vial_id
CEHL,Bass Harbor,21B,2004-08-03T00:00:00Z,1899-12-31T08:15:00Z,0,2,1899-12-31T06:58:00Z,1899-12-31T13:41:00Z,12,19,2,2,2.58,34,None,Partly Cloudy,Ripple,Wispy fog swirling among the coves and inlets,8.3,8.4,8.35,7.1,7,7.05,2004-08-08T00:00:00Z,1.35,0,0,6,2,4,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,Chaetoceros,29,NA,In,NA,"Danielle, Tifin, Sarah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEHL,SWH Beals,21A,2004-08-03T00:00:00Z,1899-12-31T08:50:00Z,0,3,1899-12-31T06:58:00Z,1899-12-31T13:37:00Z,13,20,2,2,2.5,34,None,Partly Cloudy,Ripple,NA,9.2,8.9,9.05,7.1,7.6,7.35,2004-08-08T00:00:00Z,1.55,0,0,6,1,3,0,0,5,0,0,0,8,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,Gyrosigma,31,NA,In,NA,"Danielle, Tifin, Sarah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MDES,Northeast Harbor,21C,2005-11-09T00:00:00Z,1899-12-31T09:48:00Z,0,1,1899-12-31T09:45:00Z,1899-12-31T04:06:00Z,8,5,6.5,3.5,3.7,35,Low,Clear,Ripple,Boat just arrived with engine running. Do collected near kelp. Sea gunk in phytoplankton jar. Towed trhough kelp under dock.lobster boats nearby. Recent change in daily temperatures.,8,NA,8,NA,NA,NA,NA,NA,0,0,0,0,2,0,0,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,Gyrosigma,10,The second DO bottle was five. We think that the group that was in the field put the sulfuric acid in too early.,Out,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEHL,MDIBL Dock,22G,2004-08-11T00:00:00Z,1899-12-31T09:55:00Z,0,9,1899-12-31T14:24:00Z,1899-12-31T08:25:00Z,14,21.5,1.2,4,4.32,33,Low,Overcast,Ripple,disk hit bottom,8.6,9.4,9,NA,NA,NA,NA,NA,2,0,0,4,0,0,0,31,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,Dinophysis,49,NA,Out,NA,"Danielle, Nicole",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEHL,BH Town Pier,22D,2004-08-09T00:00:00Z,1899-12-31T10:05:00Z,0.08,11,1899-12-31T12:32:00Z,1899-12-31T06:28:00Z,13,19.5,15,3,3.4,33,None,Clear,Ripple,Disk hit bottom. Oil or soap (?) on surface,NA,NA,8.2,NA,NA,NA,NA,NA,0,0,5,2,0,0,0,3,0,2,0,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,Leptocylindrus,22,NA,Out,NA,"Bik, Danielle, Nicole, Tifin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEHL,BH Town Pier,22D,2004-08-21T00:00:00Z,1899-12-31T10:10:00Z,0,4,1899-12-31T06:35:00Z,1899-12-31T12:46:00Z,13,23,1.5,4,4.19,34,None,Clear,Ripple,"Trawler ""Heidi and Heather next to us",8,8.1,8.05,7.3,7.7,7.5,2004-08-07T00:00:00Z,0.55,0,0,0,0,6,0,0,3,0,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,Coscinodiscus,14,NA,In,NA,"Danielle, Bik, Sarah",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEHL,Anchorage Alpha,22C,2004-08-06T00:00:00Z,1899-12-31T10:30:00Z,0,1,1899-12-31T09:53:00Z,1899-12-31T16:07:00Z,14,25,2,6,6.83,34,Medium,Clear,Ripple,Very glassy surface,9,8.1,8.55,NA,NA,NA,NA,NA,0,0,4,2,0,0,0,2,0,1,2,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,Nitzchia,21,NA,In,NA,"Danielle, Michelle, Lauren",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEHL,BH Town Pier,22D,2014-07-07T00:00:00Z,1899-12-31T10:31:00Z,NA,NA,NA,NA,14,23,NA,NA,3.645,30,Low,Partly Cloudy,Calm,NA,5.9,6.1,6,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1020,NA,NA,NA,NA,NA,NA,"Lobster boat interupted collection process, process still complete",Out,NA,Kaitlin Mathews,Filter,NA,NA,NA,E,NA,NA,NA,NA,NA,NA,NA,NA
CEHL,Bass Harbor,21B,2004-08-10T00:00:00Z,1899-12-31T11:15:00Z,0,11,1899-12-31T13:18:00Z,1899-12-31T07:28:00Z,14,25,0.5,3,3.78,33,Low,Clear,Ripple,NA,8.3,8.3,8.3,NA,NA,NA,NA,NA,3,0,10,0,0,0,0,5,0,2,0,0,0,7,0,0,0,0,0,0,2,0,0,4,0,0,0,Chaetoceros,44,NA,Out,NA,"Danielle, Tifin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CEHL,SWH Beals,21A,2004-08-10T00:00:00Z,1899-12-31T11:45:00Z,0,11,1899-12-31T13:18:00Z,1899-12-31T07:28:00Z,14,29,5,3,3.82,33,None,Clear,Ripple,Disk hit bottom,8.4,8.2,8.3,NA,NA,NA,NA,NA,2,0,26,4,0,0,0,5,0,3,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,Chaetoceros,56,NA,Out,NA,"Danielle, Tifin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
