numeric id,water region,alphanumeric ID,suggested site id
21,Somes Sound,21A,SWH Beals
21,Somes Sound,21B,SWH Dysarts
21,Somes Sound,21C,Northeast Harbor
22,Frenchman Bay,22D,BH Town Pier
22,Frenchman Bay,22G,MDIBL Dock
22,Frenchman Bay,22B,Anchorage Bravo
22,Frenchman Bay,22A,Anchorage Alpha
23,Bass Harbor,23A,Bernard
23,Bass Harbor,23B,Bass Harbor
24,Eastern Bay,24A,Berry Cove
24,Eastern Bay,24,eastern bay channel
24,Eastern Bay,24B,Hadley Point
24,Eastern Bay,24C,Lamoine Shore
24,Eastern Bay,24D,Thomas Island east
24,Eastern Bay,24E,Thomas island West
25,Jordan River,25,Jordan River
26,Skillings River,26A,Skillings River
26,Skillings River,26B,Raccoon Cove
27,Northeast Frenchmans Bay,27B,The Hop
27,Northeast Frenchmans Bay,27A,Stave
28,Blue Hill Bay,28A,Blue Hill - Mill Pond
29,Union River Bay,29A,Surry Town Wharf
30,Penobscot Bay,30A,Bagaduce Lunch
30,Penobscot Bay,30B,Penobscot Town Landing
30,Penobscot Bay,30C,Brooksville Indian Bar
30,Penobscot Bay,30D,Brooksville Town Dock
