id,row_id,username,license,license_url,lat,lng,geoprivacy,hotspot,event,observed,country,county,state,municipality,postcode,observation_notes,Cruise_Ship_Name,Recent_Rainfall_(inches)_(in),Tide_Stage,Time_of_Low_Tide,Time_(High_Tide),Cooler_Temperature_(_C),Water_Temperature_(_C)_(C),Air_temperature_(_C)_(°C),Wind_Speed_(mph),Tow_Depth_(m),Salinity_(ppt),DO_(avg)_(ppm),Enterococcus_Number_(/100ml),Biological_Oxygen_Demand_(BOD),Phytoplankton_(Dominant_Species_1),Phytoplankton_(Dominant_Species_3),Total_Phytoplankton,Current,Weather,Wind_on_Water,Sample_Method_(cruise_ship),Transparency_(avg)_(m),Observations_(cruise_ship),Nitrogen_(ug/L),Silicic_Acid_(uM),Phosphorus_(mg/L),Ammonium_(mg/L),Turbidity_(Average),Wind_Direction,Count,Comments_Brand_Names,Abundance,Transparency_(m),Dissolved_Oxygen,Current_(relative),Nutrient_Vial_Number,Nutrient_bath_temperature_(C),__of_LARGE_Pseudo_nitzschia,__of_SMALL_Pseudo_nitzschia,__of_Dinophysis_acuminata,__of_Alexandrium,__of_Prorocentrum_lima,__of_Margalefidinium_p_,__of_Karenia,PS_TNTC_reached_at_cell__,Comments,Phytoplankton_(Dominant_Species_2),Date_e_mailed_to_DMR,Lab_Comments,Collected_By,Inches_of_Rain_(in),Tide_in___out,Time_of_High_Tide,Water_Surface,Phytoplanton_Sample_Method,Field_Notes,Image 1,Image 2,Image 3,Image 4,Image 5,__of_Dinophysis_norvegica,__of_Dinophysis_spp__(unknown),Descending_Transparency_(m),Ascending_Transparency_(m),Water_Depth_(m),Frequency_(Dominant_Species_1),Frequency_(Dominant_Species_2),Zooplankton_Frequency,Microplastics_Sampling_Type,Amount_of_Water_Filtered_(L),Blue__Round,Blue__Filament,Blue__Angular,Blue__Other_Shape,Red__Round,Red__Filament,Red__Angular,Red__Other_Shape,Transparent_White__Round,Transparent_White__Filament,Transparent_White__Angular,Transparent_White__Other_Shape,Black__Round,Black__Filament,Black__Angular,Black__Other_Shape,Green__Round,Green__Filament,Green__Angular,Green__Other_Shape,Other_Colors__Round,Other_Colors__Filament,Other_Colors__Angular,Other_Colors__Other_Shape,Microplastics_Notes,Wind_Speed,__Grid_Cells_Counted,pH,__of_Copepods,Berth,Water_Traffic,Phosphorous_(ug/L)
"64560","159647","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-05-13 12:55:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Control","0","9","1:00:00 AM","7:05:00 AM","5","6","8","7","2","34","9.9","0","3.7","Phaeocystis","Nizschia","35","Low","Clear","Ripple","Towed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64561","159648","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-05-16 14:00:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Maasdam","0","7","7:48:00 AM","1:54:00 PM","6","6","9","5","9.699999999999999","35","10.1","0","5.1","Phaeocystis","Chaetoceros","21","Medium","Drizzle","Ripple","Towed","9.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64562","159649","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-05-20 16:35:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Le Levant","0","6","6:36:00 AM","12:40:00 PM","10","15","27","10","4","35","8.949999999999999","0","8.5","Chaetoceros","","10","Medium","Clear","Ripple","Towed","8.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64563","159650","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-05-28 17:30:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Maasdam","0","2","12:18:00 PM","5:57:00 AM","7","9","7","8","4.5","35","9.699999999999999","0","6.8","Chaetoceros","Dinophysis","31","Low","Drizzle","Ripple","Towed","7.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64564","159651","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-05-31 13:00:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Orion","0","6","2:38:00 PM","8:47:00 AM","5","7","12","1.3","8","35","9.4","0","6.4","Chaetoceros","Rhizosolenia","42","Low","Clear","Calm","Towed","6.9","Oil on Surface","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64565","159652","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.393302,-68.204206,"false","Town Pier","","2004-06-10 14:13:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Nantucket Clipper","0","11","11:57:00 AM","5:36:00 AM","0","12","15","4.75","2","37","9.4","0","2.4","Chaetoceros","Rhizosolenia","63","None","Clear","Ripple","Towed","","Other","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64566","159653","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-06-11 12:15:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Seven Seas Navigator","0","9","12:31:00 PM","6:39:00 AM","7","9.5","13","8","4","35","7.95","0","7.6","Chaetoceros","Gyrosigma","42","None","Clear","Ripple","Towed","4.2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64567","159654","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-07-02 14:20:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Maasdam","0","5","5:13:00 AM","11:26:00 AM","10","7.5","17","14","6.3","33","8.949999999999999","0","8.35","Thalassionema","Rhizosolenia","51","Medium","Overcast","Waves","Towed","6.5","Marine Mammals","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64568","159655","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.393302,-68.204206,"false","Town Pier","","2004-07-06 12:45:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","American Glory","0","1","8:40:00 AM","2:14:00 AM","8","10","19","0","1.85","36","9","31","5.5","Thalassiosira","Rhizosolenia","51","Low","Overcast","Calm","Towed","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64569","159656","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.393302,-68.204206,"false","Town Pier","","2004-07-12 13:29:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","American Glory","0","7","2:06:00 PM","8:04:00 AM","3","11","19","1.3","4.65","34","8.300000000000001","52","3.8","Leptocylindrus","Chaetoceros","82","Low","Overcast","Ripple","Towed","","Oil on Surface","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64570","159657","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-07-09 17:25:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Control","0","3","11:23:00 AM","5:40:00 PM","3","10","14","0.5","8","34","9.199999999999999","0","8.300000000000001","Leptocylindrus","Chaetoceros","167","Low","Overcast","Ripple","Towed","7.85","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"64571","159658","ataylor7","Creative Commons Attribution 4.0 International License","https://creativecommons.org/licenses/by/4.0/",44.39152,-68.192764,"false","Alpha","","2004-07-16 15:40:00+0000","United States","Hancock County","Maine","Bar Harbor",null,"","Maasdam","0","6","5:10:00 PM","11:15:00 AM","8","11","19","15","9","35","8.550000000000001","0","","Leptocylindrus","Chaetoceros","85","Medium","Partly Cloudy","Whitecaps","Towed","8.15","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
