Site Name,Station #,Date,Vial #,NO3+NO2,Si(OH)4,NH4,PO4,DIN
MDIBL Dock,22G,7/10/2017,1069,0.37,1.69,5.62,0.84,NA
Bar Harbor Town Pier,22D,7/10/2017,1070,0.1,1.2,1.5,0.47,NA
MDIBL Dock,22G,7/3/2017,1054,0.09,2.31,0.39,0.39,NA
Bar Harbor Town Pier,22D,7/3/2017,1055,0.03,0.35,0.5,0.31,NA
Bar Harbor Town Pier,22D,6/27/2017,1053,0.55,1.1,1.75,0.41,NA
MDIBL Dock,22G,6/26/2017,1052,0.39,0.78,7,0.44,NA
Bar Harbor Town Pier,22D,6/20/2017,1046,0.33,0.57,1.25,0.57,NA
MDIBL Dock,22G,6/19/2017,1045,0.12,0.78,3.85,0.47,NA
MDIBL Dock,22G,6/12/2017,1036,0.08,0.26,0.55,0.25,NA
Bar Harbor Town Pier,22D,6/12/2017,1037,1.83,6.73,2.42,0.84,NA
MDIBL Dock,22G,6/6/2017,1034,0.09,0.58,0.31,0.55,NA
Bar Harbor Town Pier,22D,6/6/2017,1035,0.09,1.15,0.29,0.41,NA
Bar Harbor Town Pier,22D,5/31/2017,1033,0.53,3.37,8.96,0.84,NA
MDIBL Dock,22G,5/30/2017,1032,0.03,1.14,0.46,0.56,NA
MDIBL Dock,22G,5/25/2017,1031,0.09,3.2,0.34,0.36,NA
Bar Harbor Town Pier,22D,5/24/2017,1030,0.44,5.07,0.22,0.26,NA
MDIBL Dock,22G,5/17/2017,1029,12.49,17.79,1.31,0.68,NA
MDIBL Dock,22G,5/10/2017,1028,22.16,29.57,2.07,0.38,NA
MDIBL Dock,22G,5/3/2017,1027,1.07,12.35,2.71,0.55,NA
MDIBL Dock,22G,4/26/2017,1026,4.11,8.77,3.63,0.42,NA
MDIBL Dock,22G,4/19/2017,1025,0.67,5.71,0.14,0.52,NA
MDIBL Dock,22G,4/13/2017,1024,0.68,4.75,2.93,0.19,NA
MDIBL Dock,22G,4/6/2017,1023,6.15,13.19,5.96,0.21,NA
MDIBL Dock,22G,2/27/2017,1022,5.32,10.76,0.39,0.42,NA
Bar Harbor Town Pier,22D,11/9/2016,NA,1.56,2.77,1.07,0.41,NA
MDIBL Dock,22G,10/27/2016,NA,0.34,2.71,1.09,0.22,NA
Bar Harbor Town Pier,22D,10/21/2016,NA,2.14,2.3,1.26,0.32,NA
MDIBL Dock,22G,10/19/2016,NA,0.54,2.42,0.81,0.2,NA
