id,eventID,locationID,geodeticDatum,decimalLatitude,decimalLongitude,countryCode,coordinateUncertaintyInMeters,eventDate,time_low_tide,time_high_tide,air_temp,water_temp,weather,rainfall_mm,wind_direction,wind_speed_knots,water_surface,water_current,tide_stage,tide_height,monitor_names,eventRemarks,salinity_ppt,DO1_ppm,DO2_ppm,DOavg_ppm,DO1_day5_ppm,DO2_day5_ppm,DO_day5_avg,bod,transparency_depth_mean,sampling_method,minimumDepthInMeters,maximumDepthInMeters,nitrate_plus_nitrite,ammonium,orthophosphate,silicate,Alexandrium,Ceratium,Chaetoceros_spp,Chaetoceros_socialis,Coscinodiscus,Dictyocha,Ditylum,Dinophysis_spp,Eucampia,Gonyaulax,Guinardia,Gymnodinium,Gyrosigma,Licmophora,Leptocylindrus,Melosira,Navicula,Nitzschia,Phaeocystis,Pleurosigma,Prorocentrum_spp,Prorocentrum_lima,Protoperidinium,Rhizosolenia,Thalassionema,Thalassiosira,Other_phytoplankton
MDIBL-habs_MDIBL_Dock_22G_2004-08-02T17:30:00UTC,MDIBL_Dock_22G_2004-08-02T17:30:00UTC,MDIBL_Dock_22G,EPSG:4326 WGS84,44.39152,-68.192764,US,5,2004-08-02T17:30:00Z,2004-08-02T22:51:00Z,2004-08-02T16:46:00Z,28,17,Clear,0,NA,1,Ripple,Low,Out,2.1336,Danielle|Nicole,"NA|NA",34,7.8,7.6,7.7,6.7,7.2,6.95,0.75,4,Tow,0.5,4.38,NA,NA,NA,NA,0.19230769230769232,0,0.038461538461538464,0,0.2692307692307692,0,0,0.38461538461538464,0,0,0,0,0,0,0.038461538461538464,0,0.038461538461538464,0,0,0,0.038461538461538464,0,0,0,0,0,0
MDIBL-habs_Bass_Harbor_21B_2004-08-03T12:15:00UTC,Bass_Harbor_21B_2004-08-03T12:15:00UTC,Bass_Harbor_21B,EPSG:4326 WGS84,44.2347384,-68.34908401,US,200,2004-08-03T12:15:00Z,2004-08-03T10:58:00Z,2004-08-03T17:41:00Z,19,12,Partly Cloudy,0,NA,2,Ripple,None,In,0.6096,Danielle|Calcagni Tifin|Sarah,"NA|Wispy fog swirling among the coves and inlets",34,8.3,8.4,8.35,7.1,7,7.05,1.35,2.58,Tow,0.5,2,NA,NA,NA,NA,0,0,0.2608695652173913,0.08695652173913043,0.17391304347826086,0,0,0.08695652173913043,0,0,0,0,0.13043478260869565,0,0,0,0,0,0,0,0,0,0,0.13043478260869565,0,0,0.13043478260869565
MDIBL-habs_SWH_Beals_21A_2004-08-03T12:50:00UTC,SWH_Beals_21A_2004-08-03T12:50:00UTC,SWH_Beals_21A,EPSG:4326 WGS84,44.2749688,-68.31374237,US,10,2004-08-03T12:50:00Z,2004-08-03T10:58:00Z,2004-08-03T17:37:00Z,20,13,Partly Cloudy,0,NA,2,Ripple,None,In,0.9144000000000001,Danielle|Calcagni Tifin|Sarah,"NA|NA",34,9.2,8.9,9.05,7.1,7.6,7.35,1.55,2.5,Tow,0.5,2,NA,NA,NA,NA,0,0,0.2222222222222222,0.037037037037037035,0.1111111111111111,0,0,0.18518518518518517,0,0,0,0,0.2962962962962963,0,0.07407407407407407,0,0,0,0,0.07407407407407407,0,0,0,0,0,0,0
MDIBL-habs_Anchorage_Alpha_22A_2004-08-06T14:30:00UTC,Anchorage_Alpha_22A_2004-08-06T14:30:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-08-06T14:30:00Z,2004-08-06T13:53:00Z,2004-08-06T20:07:00Z,25,14,Clear,0,NA,2,Ripple,Medium,In,0.3048,Danielle|Michelle|Lauren,"NA|Very glassy surface",34,9,8.1,8.55,NA,NA,NA,NA,6.83,Tow,0.5,6,NA,NA,NA,NA,0,0,0.2222222222222222,0.1111111111111111,0,0,0,0.1111111111111111,0,0.05555555555555555,0.1111111111111111,0,0,0,0.1111111111111111,0,0,0.2777777777777778,0,0,0,0,0,0,0,0,0
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2004-08-09T14:05:00UTC,Bar_Harbor_Town_Pier_22D_2004-08-09T14:05:00UTC,Bar_Harbor_Town_Pier_22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2004-08-09T14:05:00Z,2004-08-09T16:32:00Z,2004-08-09T10:28:00Z,19.5,13,Clear,2.032,NA,15,Ripple,None,Out,3.3528000000000002,Wheeler Bik|Danielle|Nicole|Calcagni Tifin,"NA|Disk hit bottom. Oil or soap (?) on surface",33,NA,NA,8.2,NA,NA,NA,NA,3.4,Tow,0.5,3,NA,NA,NA,NA,0,0,0.22727272727272727,0.09090909090909091,0,0,0,0.13636363636363635,0,0.09090909090909091,0,0,0.045454545454545456,0,0.3181818181818182,0,0.045454545454545456,0.045454545454545456,0,0,0,0,0,0,0,0,0
MDIBL-habs_Bass_Harbor_21B_2004-08-10T15:15:00UTC,Bass_Harbor_21B_2004-08-10T15:15:00UTC,Bass_Harbor_21B,EPSG:4326 WGS84,44.2347384,-68.34908401,US,200,2004-08-10T15:15:00Z,2004-08-10T17:18:00Z,2004-08-10T11:28:00Z,25,14,Clear,0,NA,0.5,Ripple,Low,Out,3.3528000000000002,Danielle|Calcagni Tifin,"NA|NA",33,8.3,8.3,8.3,NA,NA,NA,NA,3.78,Tow,0.5,3,NA,NA,NA,NA,0.09090909090909091,0,0.30303030303030304,0,0,0,0,0.15151515151515152,0,0.06060606060606061,0,0,0,0,0.21212121212121213,0,0,0,0,0,0,0.06060606060606061,0,0.12121212121212122,0,0,0
MDIBL-habs_SWH_Beals_21A_2004-08-10T15:45:00UTC,SWH_Beals_21A_2004-08-10T15:45:00UTC,SWH_Beals_21A,EPSG:4326 WGS84,44.2749688,-68.31374237,US,10,2004-08-10T15:45:00Z,2004-08-10T17:18:00Z,2004-08-10T11:28:00Z,29,14,Clear,0,NA,5,Ripple,None,Out,3.3528000000000002,Danielle|Calcagni Tifin,"NA|Disk hit bottom",33,8.4,8.2,8.3,NA,NA,NA,NA,3.82,Tow,0.5,3,NA,NA,NA,NA,0.038461538461538464,0,0.5,0.07692307692307693,0,0,0,0.09615384615384616,0,0.057692307692307696,0,0,0,0,0.17307692307692307,0,0,0,0,0,0.057692307692307696,0,0,0,0,0,0
MDIBL-habs_MDIBL_Dock_22G_2004-08-11T13:55:00UTC,MDIBL_Dock_22G_2004-08-11T13:55:00UTC,MDIBL_Dock_22G,EPSG:4326 WGS84,44.39152,-68.192764,US,5,2004-08-11T13:55:00Z,2004-08-11T18:24:00Z,2004-08-11T12:25:00Z,21.5,14,Overcast,0,NA,1.2,Ripple,Low,Out,2.7432000000000003,Danielle|Nicole,"NA|disk hit bottom",33,8.6,9.4,9,NA,NA,NA,NA,4.32,Tow,0.5,4,NA,NA,NA,NA,0.043478260869565216,0,0,0.08695652173913043,0,0,0,0.6739130434782609,0,0,0,0,0.043478260869565216,0,0,0,0,0,0.10869565217391304,0,0,0,0,0.043478260869565216,0,0,0
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2004-08-21T14:10:00UTC,Bar_Harbor_Town_Pier_22D_2004-08-21T14:10:00UTC,Bar_Harbor_Town_Pier_22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2004-08-21T14:10:00Z,2004-08-21T10:35:00Z,2004-08-21T16:46:00Z,23,13,Clear,0,NA,1.5,Ripple,None,In,1.2192,Danielle|Wheeler Bik|Sarah,"NA|Trawler ""Heidi and Heather next to us",34,8,8.1,8.05,7.3,7.7,7.5,0.55,4.19,Tow,0.5,4,NA,NA,NA,NA,0,0,0,0,0.42857142857142855,0,0,0.21428571428571427,0,0.07142857142857142,0,0,0.07142857142857142,0,0.21428571428571427,0,0,0,0,0,0,0,0,0,0,0,0
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2004-09-07T18:15:00UTC,Bar_Harbor_Town_Pier_22D_2004-09-07T18:15:00UTC,Bar_Harbor_Town_Pier_22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2004-09-07T18:15:00Z,2004-09-07T15:51:00Z,2004-09-07T08:51:00Z,27,13,Partly Cloudy,0,NA,1.3,Ripple,Low,Out,1.3716000000000002,VanGorder Jake|Disney Jane,Other Phytoplankton=Diplopsalis|NA,35,8.2,8.2,8.2,5.8,5.8,5.8,2.4,3.9,Tow,0.5,3,NA,NA,NA,NA,0,0,0.07692307692307693,0.23076923076923078,0,0,0,0.3076923076923077,0,0,0,0,0.07692307692307693,0,0,0,0,0,0,0,0,0,0.07692307692307693,0.15384615384615385,0,0,0.07692307692307693
