id,eventID,locationID,geodeticDatum,decimalLatitude,decimalLongitude,countryCode,coordinateUncertaintyInMeters,eventDate,time_low_tide,time_high_tide,date_emailed_to_DMR,BOD_date,air_temp,water_temp,weather,rainfall_mm,wind_direction,wind_speed_knots,water_surface,water_current,tide_stage,tide_height,monitor_names,eventRemarks,salinity_ppt,DO1_ppm,DO2_ppm,DOavg_ppm,DO1_day5_ppm,DO2_day5_ppm,DO_day5_avg,bod,transparency_depth_mean,sampling_method,minimumDepthInMeters,maximumDepthInMeters,nitrate_plus_nitrite,ammonium,orthophosphate,silicate,Alexandrium,Ceratium,Chaetoceros_spp,Chaetoceros_socialis,Coscinodiscus,Dictyocha,Ditylum,Dinophysis_spp,Eucampia,Gonyaulax,Guinardia,Gymnodinium,Gyrosigma,Licmophora,Leptocylindrus,Melosira,Navicula,Nitzschia,Phaeocystis,Pleurosigma,Prorocentrum_spp,Prorocentrum_lima,Protoperidinium,Pseudo_nitzschia_small,Pseudo_nitzschia_large,Pseudo_nitzschia_spp,Rhizosolenia,Thalassionema,Thalassiosira,Other_phytoplankton,total_phytoplankton,data_for_Kate,only_PN_counted,only_dinophysis_counted,only_alexandrium_counted,grids_counted
MDIBL-habs_Bernard_21B_2007-01-12T14:00:00UTC,Bernard_21B_2007-01-12T14:00:00UTC,Bernard_21B,EPSG:4326 WGS84,44.24062188,-68.35163709,US,15,2007-01-12T14:00:00Z,2007-01-12T15:45:00Z,2007-01-13T04:59:59Z,2007-01-12,NA,7,3,Partly Cloudy,0,NA,15,Ripple,High,Out,3.6576000000000004,Luke|Gus,"NA|ferry left, no people or active boats, pressure washer, net did not go deep because strong current kept it from going down, low tide",32,9.8,9.8,9.8,NA,NA,NA,NA,3,Tow,0.5,2.5,NA,NA,NA,NA,0,0,2,0,0,0,1,0,2,0,2,0,0,0,0,0,2,0,0,0,0,0,0,NA,NA,NA,0,0,5,0,14,NA,NA,NA,NA,200
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2007-01-25T18:25:00UTC,Bar_Harbor_Town_Pier_22D_2007-01-25T18:25:00UTC,Bar_Harbor_Town_Pier_22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2007-01-25T18:25:00Z,2007-01-25T14:24:00Z,2007-01-26T04:59:59Z,2007-01-25,NA,-5,0,Clear,0,NA,3.5,Ripple,Medium,In,1.524,Durrant Ariel,"other than in our fields of view we saw nitzchia, gymnodidium, and didylum. There is some confusion about what thalassiosire looks like as a single cell in comparison to cosinodiscus. We saw one the the two with spines, our guess is it is thalassiosira.|No boats or action around the pier. Ice on the dock. Stinky docks resting on the pier. Current pulled the tow net under the dock. We forgot the aquascope. Water looked like it was close to freezing over.",35,9.8,10,9.9,NA,NA,NA,NA,2.77,Tow,0.5,2.5,NA,NA,NA,NA,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,NA,NA,NA,1,0,19,0,25,NA,NA,NA,NA,200
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2007-01-29T17:16:00UTC,Bar_Harbor_Town_Pier_22D_2007-01-29T17:16:00UTC,Bar_Harbor_Town_Pier_22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2007-01-29T17:16:00Z,2007-01-29T06:00:00Z,2007-01-30T04:59:59Z,NA,NA,-6,-1,Clear,0,NA,15,Whitecaps,High,Out,3.6576000000000004,Watson Tasha,1 harpacticoid|Dock covered with ice and sinking. Disc hit bottom. Current changed. No boat or people. Some seaweed afloat.DO #2 had acid in it.,35,10.8,10,10.4,NA,NA,NA,NA,2.46,Tow,0.5,2,NA,NA,NA,NA,0,0,2,0,1,1,0,1,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,NA,NA,NA,0,2,30,6,52,NA,NA,NA,NA,200
MDIBL-habs_SWH_Beals_21A_2007-02-06T13:30:00UTC,SWH_Beals_21A_2007-02-06T13:30:00UTC,SWH_Beals_21A,EPSG:4326 WGS84,44.2749688,-68.31374237,US,10,2007-02-06T13:30:00Z,2007-02-06T11:49:00Z,2007-02-07T04:59:59Z,NA,NA,-12,0,Clear,0,NA,NA,Waves,High,In,0.6096,Disney Jane,2 harpacticoid zooplankton-2 large larvae (lobster?) 1 BURST CELL 1 tintinid 1 copepod.|Water icey. Ider ducks,35,10.2,9.9,10,NA,NA,NA,NA,3.73,Tow,0.5,3,NA,NA,NA,NA,0,0,1,0,1,0,0,0,3,0,0,0,0,0,0,0,2,0,0,0,0,0,0,NA,NA,NA,0,0,36,1,44,NA,NA,NA,NA,200
MDIBL-habs_Bernard_21B_2007-02-27T13:30:00UTC,Bernard_21B_2007-02-27T13:30:00UTC,Bernard_21B,EPSG:4326 WGS84,44.24062188,-68.35163709,US,15,2007-02-27T13:30:00Z,2007-02-27T17:20:00Z,2007-02-28T04:59:59Z,NA,NA,9,3,Overcast,0,NA,1,Ripple,Low,Out,2.4384,Durrant Ariel,9 drops of acid in one DO.|Ferry left. Brown scum in water. No active boats. Ice chunks,NA,9.3,9.8,9.5,NA,NA,NA,NA,4.37,Tow,0.5,3,NA,NA,NA,NA,0,0,23,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,1,1,30,NA,NA,NA,NA,200
MDIBL-habs_SWH_Beals_21A_2007-03-19T13:00:00UTC,SWH_Beals_21A_2007-03-19T13:00:00UTC,SWH_Beals_21A,EPSG:4326 WGS84,44.2749688,-68.31374237,US,10,2007-03-19T13:00:00Z,2007-03-19T08:56:00Z,2007-03-20T03:59:59Z,2007-03-28,NA,-2,2,Clear,NA,NA,11,Waves,Medium,In,1.524,Disney Jane,"NA|Boat by dock. Scum on water. Birds.",NA,11.1,11.4,11,NA,NA,NA,NA,3.16,Tow,0.5,3,NA,NA,NA,NA,0,0,0,0,22,0,0,5,4,0,0,0,1,0,0,0,5,0,0,0,0,0,0,NA,NA,NA,0,7,80,8,132,NA,NA,NA,NA,200
MDIBL-habs_SWH_Beals_21A_2007-03-27T13:30:00UTC,SWH_Beals_21A_2007-03-27T13:30:00UTC,SWH_Beals_21A,EPSG:4326 WGS84,44.2749688,-68.31374237,US,10,2007-03-27T13:30:00Z,2007-03-27T16:43:00Z,2007-03-28T03:59:59Z,2007-03-28,NA,5.5,2.5,Drizzle,0,NA,0,Calm,Low,Out,2.7432000000000003,Disney Jane,"Tons of strange cystlike round things.|Wet, Foggy.",33,10.4,10.4,10.4,NA,NA,NA,NA,4.22,Tow,0.5,3.5,NA,NA,NA,NA,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,0,0,52,13,71,NA,NA,NA,NA,200
MDIBL-habs_Anchorage_Alpha_22A_2007-06-28T15:00:00UTC,Anchorage_Alpha_22A_2007-06-28T15:00:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2007-06-28T15:00:00Z,2007-06-28T07:54:00Z,2007-06-29T03:59:59Z,NA,NA,17,13,Overcast,NA,0,2,Calm,Low,Out,3.6576000000000004,Durrant Ariel,"Used new phytoplankton protocol.  From now on we use old protocol, six fields of view for offshore sites.  Total phytoplankton not determined because of chaetoceros abundance.|Scum line -- weather changed from drizzle to partly cloudy.  Moon jellies.  Several birds on floating docks near anchored boats.",35,8.8,9.2,9,NA,NA,NA,NA,7.5,Tow,0.5,6,NA,NA,NA,NA,55,0,0,0,2,1,0,41,0,0,0,0,0,2,0,0,8,5,0,0,0,0,0,NA,NA,NA,0,0,1,2,0,NA,NA,NA,NA,200
MDIBL-habs_Anchorage_Alpha_22A_2007-06-29T15:00:00UTC,Anchorage_Alpha_22A_2007-06-29T15:00:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2007-06-29T15:00:00Z,2007-06-29T08:48:00Z,2007-06-30T03:59:59Z,NA,NA,16,12.9,Partly Cloudy,0,315,15,Ripple,Medium,NA,2.4384,Aquino Omar,"NA|NA",33,8.3,8.9,8.6,NA,NA,NA,NA,7.65,Tow,0.5,6,NA,NA,NA,NA,0,0,255,0,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,0,0,0,0,0,NA,NA,NA,NA,200
MDIBL-habs_Anchorage_Alpha_22A_2007-07-06T15:20:00UTC,Anchorage_Alpha_22A_2007-07-06T15:20:00UTC,Anchorage_Alpha_22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2007-07-06T15:20:00Z,2007-07-06T13:43:00Z,2007-07-07T03:59:59Z,NA,NA,15,10.6,Fog,NA,135,5,Calm,Low,In,0.6096,Aquino Omar,DO was taken from the same bottle.|Heavy fog.,35,9,9.2,9.1,NA,NA,NA,NA,4.5,Tow,0.5,1,NA,NA,NA,NA,2,0,127,0,1,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,NA,NA,NA,0,0,0,0,138,NA,NA,NA,NA,200
MDIBL-habs_Bar_Harbor_Town_Pier_22D_2007-07-09T15:10:00UTC,Bar_Harbor_Town_Pier_22D_2007-07-09T15:10:00UTC,Bar_Harbor_Town_Pier_22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2007-07-09T15:10:00Z,2007-07-09T16:12:00Z,2007-07-10T03:59:59Z,2007-07-09,NA,19,11,Overcast,1.27,135,3,Ripple,None,Out,3.3528000000000002,Disney Jane,"Chaetoceros was abundant. Phytoplankton count for ""other"": 1 Fragilaria, 2 Cylindrotheca.|Bardge and Frenchman bay, American Star, Emily Catheryn and lobster boat.",34,9.7,9.7,9.7,NA,NA,NA,NA,2.75,Tow,0.5,2,NA,NA,NA,NA,3,0,0,0,1,0,0,42,0,3,0,1,9,88,0,0,4,1,0,0,0,0,2,NA,NA,NA,0,0,1,3,158,NA,NA,NA,NA,200
