anecdata_columns,access_db_columns,measurementType,Darwin unique columns,measurementID,measurementTypeID,measurementUnit,measurementUnitID,measurementRemarks,darwin_file,parameter
id,,id,,,,,,Row identifier,all,id
,,eventID,,,,,,"locationID ""_"" eventDate",event,eventID
observed,,eventDate,,,,,,date time GMT,event,eventDate
,,geodeticDatum,,,,,,code indicating format of eventDate,event,geodeticDatum
,,countryCode,,,,,,"always ""US"" in this dataset",event,countryCode
,,eventRemarks,,eventRemarks,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,descriptive,http://vocab.nerc.ac.uk/collection/P06/current/UUUU/,"Additional comments from field, laboratory, or otherwise",event,eventRemarks
lat,,decimalLatitude,,,,,,decimal degrees,event,decimalLatitude
lng,,decimalLongitude,,,,,,decimal degrees,event,decimalLongitude
,,coordinateUncertaintyInMeters,,,,,,uncertainty of coordinates,event,minimumDepthInMeters
,,minimumDepthInMeters,,,,,,minimum sampling depth ,event,maximumDepthInMeters
,Tow Depth    Meters,maximumDepthInMeters,,,,,,maximum sampling depth,event,coordinateUncertaintyInMeters
,,,basisOfRecord,,,,,Darwin core term for how sample was taken,occurrence,basisOfRecord
row_id,,NULL,,,,,,NULL,occurrence,organismName
username,,NULL,,,,,,NULL,occurrence,organismQuantity
license,,NULL,,,,,,NULL,occurrence,organismQuantityType
license_url,,NULL,,,,,,NULL,occurrence,occurrenceID
,Program,NULL,,,,,,name of site,occurrence,occurrenceStatus
hotspot,,NULL,,,,,,"split into ""site"" and ""locationID""",occurrence,scientificName
,Site Name,site,,,,,,site name,occurrence,scientificNameID
,Station Number,locationID,,,,,,alphanumeric site ID,event,locationID
event,,NA,,,,,,NULL,occurrence,kingdom
,Date,NULL,,,,,,Date and UTC Time combined into eventDate,,
,Time 24Hrs,NULL,,,,,,Date and UTC Time combined into eventDate,,
country,,NULL,,,,,,NULL,,
county,,NULL,,,,,,NULL,,
state,,NULL,,,,,,NULL,,
municipality,,NULL,,,,,,NULL,,
postcode,,NULL,,,,,,NULL,,
