id,eventID,site,locationID,geodeticDatum,decimalLatitude,decimalLongitude,countryCode,coordinateUncertaintyInMeters,eventDate,date_emailed_to_DMR,BOD_date,air_temp,water_temp,weather,rainfall_mm,wind_direction,wind_speed_knots,water_surface,water_current,tide_stage,tide_height,monitor_names,eventRemarks,salinity_ppt,DO1_ppm,DO2_ppm,DOavg_ppm,DO1_day5_ppm,DO2_day5_ppm,DO2_day5_avg,bod,transparency_depth_mean,sampling_method,minimumDepthInMeters,maximumDepthInMeters,Alexandrium,Ceratium,Chaetoceros_spp,Chaetoceros_socialis,Coscinodiscus,Dictyocha,Ditylum,Dinophysis_spp,Eucampia,Gonyaulax,Guinardia,Gymnodinium,Gyrosigma,Licmophora,Leptocylindrus,Melosira,Navicula,Nitzschia,Phaeocystis,Pleurosigma,Prorocentrum_spp,Prorocentrum_lima,Protoperidinium,Pseudo_nitzschia_small,Pseudo_nitzschia_large,Pseudo_nitzchia_spp,Rhizosolenia,Thalassionema,Thalassiosira,Other_phytoplankton,total_phytoplankton,too_numerous_to_count_grid_num
MDIBL-habs_22G_2004-08-02T17:30:00UTC,22G_2004-08-02T17:30:00UTC,MDIBL Dock,22G,EPSG:4326 WGS84,44.39152,-68.192764,US,5,2004-08-02T17:30:00UTC,NA,2004-08-07T04:00:00Z,28,17,Clear,0,NA,1,Ripple,Low,Out,2.1336,Danielle|Nicole,"NA|NA",34,7.8,7.6,7.7,6.7,7.2,6.95,0.75,4,Tow,0.5,4.38,5,0,1,0,7,0,0,10,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,33,NA
MDIBL-habs_23A_2004-08-03T12:15:00UTC,23A_2004-08-03T12:15:00UTC,Bass Harbor,23A,EPSG:4326 WGS84,44.2347384,-68.34908401,US,200,2004-08-03T12:15:00UTC,NA,2004-08-08T04:00:00Z,19,12,Partly Cloudy,0,NA,2,Ripple,None,In,0.6096,Danielle|Tifin|Sarah,"NA|Wispy fog swirling among the coves and inlets",34,8.3,8.4,8.35,7.1,7,7.05,1.35,2.58,Tow,0.5,2,0,0,6,2,4,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,29,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,21A_2004-08-03T12:50:00UTC,SWH Beals,21A,EPSG:4326 WGS84,44.2749688,-68.31374237,US,10,2004-08-03T12:50:00UTC,NA,2004-08-08T04:00:00Z,20,13,Partly Cloudy,0,NA,2,Ripple,None,In,0.9144000000000001,Danielle|Tifin|Sarah,"NA|NA",34,9.2,8.9,9.05,7.1,7.6,7.35,1.55,2.5,Tow,0.5,2,0,0,6,1,3,0,0,5,0,0,0,0,8,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,31,NA
MDIBL-habs_22A_2004-08-06T14:30:00UTC,22A_2004-08-06T14:30:00UTC,Anchorage Alpha,22A,EPSG:4326 WGS84,44.39145975,-68.19188395,US,450,2004-08-06T14:30:00UTC,NA,NA,25,14,Clear,0,NA,2,Ripple,Medium,In,0.3048,Danielle|Michelle|Lauren,"NA|Very glassy surface",34,9,8.1,8.55,NA,NA,NA,NA,6.83,Tow,0.5,6,0,0,4,2,0,0,0,2,0,1,2,0,0,0,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,NA
MDIBL-habs_22D_2004-08-09T14:05:00UTC,22D_2004-08-09T14:05:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2004-08-09T14:05:00UTC,NA,NA,19.5,13,Clear,2.032,NA,15,Ripple,None,Out,3.3528000000000002,Bik|Danielle|Nicole|Tifin,"NA|Disk hit bottom. Oil or soap (?) on surface",33,NA,NA,8.2,NA,NA,NA,NA,3.4,Tow,0.5,3,0,0,5,2,0,0,0,3,0,2,0,0,1,0,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,22,NA
MDIBL-habs_23A_2004-08-10T15:15:00UTC,23A_2004-08-10T15:15:00UTC,Bass Harbor,23A,EPSG:4326 WGS84,44.2347384,-68.34908401,US,200,2004-08-10T15:15:00UTC,NA,NA,25,14,Clear,0,NA,0.5,Ripple,Low,Out,3.3528000000000002,Danielle|Tifin,"NA|NA",33,8.3,8.3,8.3,NA,NA,NA,NA,3.78,Tow,0.5,3,3,0,10,0,0,0,0,5,0,2,0,0,0,0,7,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,44,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,21A_2004-08-10T15:45:00UTC,SWH Beals,21A,EPSG:4326 WGS84,44.2749688,-68.31374237,US,10,2004-08-10T15:45:00UTC,NA,NA,29,14,Clear,0,NA,5,Ripple,None,Out,3.3528000000000002,Danielle|Tifin,"NA|Disk hit bottom",33,8.4,8.2,8.3,NA,NA,NA,NA,3.82,Tow,0.5,3,2,0,26,4,0,0,0,5,0,3,0,0,0,0,9,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,56,NA
MDIBL-habs_22G_2004-08-11T13:55:00UTC,22G_2004-08-11T13:55:00UTC,MDIBL Dock,22G,EPSG:4326 WGS84,44.39152,-68.192764,US,5,2004-08-11T13:55:00UTC,NA,NA,21.5,14,Overcast,0,NA,1.2,Ripple,Low,Out,2.7432000000000003,Danielle|Nicole,"NA|disk hit bottom",33,8.6,9.4,9,NA,NA,NA,NA,4.32,Tow,0.5,4,2,0,0,4,0,0,0,31,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0,0,0,49,NA
MDIBL-habs_22D_2004-08-21T14:10:00UTC,22D_2004-08-21T14:10:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2004-08-21T14:10:00UTC,NA,2004-08-07T04:00:00Z,23,13,Clear,0,NA,1.5,Ripple,None,In,1.2192,Danielle|Bik|Sarah,"NA|Trawler ""Heidi and Heather next to us",34,8,8.1,8.05,7.3,7.7,7.5,0.55,4.19,Tow,0.5,4,0,0,0,0,6,0,0,3,0,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,NA
MDIBL-habs_22D_2004-09-07T18:15:00UTC,22D_2004-09-07T18:15:00UTC,Bar Harbor Town Pier,22D,EPSG:4326 WGS84,44.402771,-68.202588,US,5,2004-09-07T18:15:00UTC,2004-09-07,2004-02-12T05:00:00Z,27,13,Partly Cloudy,0,NA,1.3,Ripple,Low,Out,1.3716000000000002,Van Gorder J|Disney J,Other Phytoplankton=Diplopsalis|NA,35,8.2,8.2,8.2,5.8,5.8,5.8,2.4,3.9,Tow,0.5,3,0,0,1,3,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,1,13,NA
