id,basisOfRecord,organismName,organismQuantity,organismQuantityType,occurrenceID,occurrenceStatus,scientificName,scientificNameID,taxonID,kingdom
MDIBL-habs_22G_2004-08-02T17:30:00UTC,HumanObservation,alexandrium,0.19230769230769232,Relative Abundance,2004-08-02T17:30:00UTC_alexandrium,present,Alexandrium,(urn:lsid:marinespecies.org:taxname:109470),NCBI:txid2924,Chromista
MDIBL-habs_22G_2004-08-02T17:30:00UTC,HumanObservation,chaetoceros_spp,0.038461538461538464,Relative Abundance,2004-08-02T17:30:00UTC_chaetoceros_spp,present,NA,NA,NA,NA
MDIBL-habs_22G_2004-08-02T17:30:00UTC,HumanObservation,coscinodiscus,0.2692307692307692,Relative Abundance,2004-08-02T17:30:00UTC_coscinodiscus,present,Coscinodiscus,(urn:lsid:marinespecies.org:taxname:148917),NCBI:txid33641,Chromista
MDIBL-habs_22G_2004-08-02T17:30:00UTC,HumanObservation,dinophysis_spp,0.38461538461538464,Relative Abundance,2004-08-02T17:30:00UTC_dinophysis_spp,present,Dinophysis,(urn:lsid:marinespecies.org:taxname:109462),NCBI:txid47933,Chromista
MDIBL-habs_22G_2004-08-02T17:30:00UTC,HumanObservation,leptocylindrus,0.038461538461538464,Relative Abundance,2004-08-02T17:30:00UTC_leptocylindrus,present,Leptocylindrus,(urn:lsid:marinespecies.org:taxname:149038),NCBI:txid163515,Chromista
MDIBL-habs_22G_2004-08-02T17:30:00UTC,HumanObservation,navicula,0.038461538461538464,Relative Abundance,2004-08-02T17:30:00UTC_navicula,present,Navicula,(urn:lsid:marinespecies.org:taxname:149142),NCBI:txid50949,Chromista
MDIBL-habs_22G_2004-08-02T17:30:00UTC,HumanObservation,prorocentrum,0.038461538461538464,Relative Abundance,2004-08-02T17:30:00UTC_prorocentrum,present,Prorocentrum,(urn:lsid:marinespecies.org:taxname:109566),NCBI:txid2944,Chromista
MDIBL-habs_21B_2004-08-03T12:15:00UTC,HumanObservation,chaetoceros_spp,0.2608695652173913,Relative Abundance,2004-08-03T12:15:00UTC_chaetoceros_spp,present,NA,NA,NA,NA
MDIBL-habs_21B_2004-08-03T12:15:00UTC,HumanObservation,chaetoceros_socialis,0.08695652173913043,Relative Abundance,2004-08-03T12:15:00UTC_chaetoceros_socialis,present,Chaetoceros socialis,(urn:lsid:marinespecies.org:taxname:149123),NCBI:txid163503,Chromista
MDIBL-habs_21B_2004-08-03T12:15:00UTC,HumanObservation,coscinodiscus,0.17391304347826086,Relative Abundance,2004-08-03T12:15:00UTC_coscinodiscus,present,Coscinodiscus,(urn:lsid:marinespecies.org:taxname:148917),NCBI:txid33641,Chromista
MDIBL-habs_21B_2004-08-03T12:15:00UTC,HumanObservation,dinophysis_spp,0.08695652173913043,Relative Abundance,2004-08-03T12:15:00UTC_dinophysis_spp,present,Dinophysis,(urn:lsid:marinespecies.org:taxname:109462),NCBI:txid47933,Chromista
MDIBL-habs_21B_2004-08-03T12:15:00UTC,HumanObservation,gyrosigma,0.13043478260869565,Relative Abundance,2004-08-03T12:15:00UTC_gyrosigma,present,NA,NA,NA,NA
MDIBL-habs_21B_2004-08-03T12:15:00UTC,HumanObservation,rhizosolenia,0.13043478260869565,Relative Abundance,2004-08-03T12:15:00UTC_rhizosolenia,present,Rhizosolenia,(urn:lsid:marinespecies.org:taxname:149069),NCBI:txid3004,Chromista
MDIBL-habs_21B_2004-08-03T12:15:00UTC,HumanObservation,other_phytoplankton,0.13043478260869565,Relative Abundance,2004-08-03T12:15:00UTC_other_phytoplankton,present,Chromista,(urn:lsid:marinespecies.org:taxname:7),NCBI:txid2698737,Chromista
MDIBL-habs_21A_2004-08-03T12:50:00UTC,HumanObservation,chaetoceros_spp,0.2222222222222222,Relative Abundance,2004-08-03T12:50:00UTC_chaetoceros_spp,present,NA,NA,NA,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,HumanObservation,chaetoceros_socialis,0.037037037037037035,Relative Abundance,2004-08-03T12:50:00UTC_chaetoceros_socialis,present,Chaetoceros socialis,(urn:lsid:marinespecies.org:taxname:149123),NCBI:txid163503,Chromista
MDIBL-habs_21A_2004-08-03T12:50:00UTC,HumanObservation,coscinodiscus,0.1111111111111111,Relative Abundance,2004-08-03T12:50:00UTC_coscinodiscus,present,Coscinodiscus,(urn:lsid:marinespecies.org:taxname:148917),NCBI:txid33641,Chromista
MDIBL-habs_21A_2004-08-03T12:50:00UTC,HumanObservation,dinophysis_spp,0.18518518518518517,Relative Abundance,2004-08-03T12:50:00UTC_dinophysis_spp,present,Dinophysis,(urn:lsid:marinespecies.org:taxname:109462),NCBI:txid47933,Chromista
MDIBL-habs_21A_2004-08-03T12:50:00UTC,HumanObservation,gyrosigma,0.2962962962962963,Relative Abundance,2004-08-03T12:50:00UTC_gyrosigma,present,NA,NA,NA,NA
MDIBL-habs_21A_2004-08-03T12:50:00UTC,HumanObservation,leptocylindrus,0.07407407407407407,Relative Abundance,2004-08-03T12:50:00UTC_leptocylindrus,present,Leptocylindrus,(urn:lsid:marinespecies.org:taxname:149038),NCBI:txid163515,Chromista
MDIBL-habs_21A_2004-08-03T12:50:00UTC,HumanObservation,pleurosigma,0.07407407407407407,Relative Abundance,2004-08-03T12:50:00UTC_pleurosigma,present,Pleurosigma,(urn:lsid:marinespecies.org:taxname:149181),NCBI:txid197752,Chromista
MDIBL-habs_22C_2004-08-06T14:30:00UTC,HumanObservation,chaetoceros_spp,0.2222222222222222,Relative Abundance,2004-08-06T14:30:00UTC_chaetoceros_spp,present,NA,NA,NA,NA
MDIBL-habs_22C_2004-08-06T14:30:00UTC,HumanObservation,chaetoceros_socialis,0.1111111111111111,Relative Abundance,2004-08-06T14:30:00UTC_chaetoceros_socialis,present,Chaetoceros socialis,(urn:lsid:marinespecies.org:taxname:149123),NCBI:txid163503,Chromista
MDIBL-habs_22C_2004-08-06T14:30:00UTC,HumanObservation,dinophysis_spp,0.1111111111111111,Relative Abundance,2004-08-06T14:30:00UTC_dinophysis_spp,present,Dinophysis,(urn:lsid:marinespecies.org:taxname:109462),NCBI:txid47933,Chromista
MDIBL-habs_22C_2004-08-06T14:30:00UTC,HumanObservation,gonyaulax,0.05555555555555555,Relative Abundance,2004-08-06T14:30:00UTC_gonyaulax,present,Gonyaulax,(urn:lsid:marinespecies.org:taxname:109519),NCBI:txid2912,Chromista
MDIBL-habs_22C_2004-08-06T14:30:00UTC,HumanObservation,guinardia,0.1111111111111111,Relative Abundance,2004-08-06T14:30:00UTC_guinardia,present,Guinardia,(urn:lsid:marinespecies.org:taxname:149111),NCBI:txid216800,Chromista
MDIBL-habs_22C_2004-08-06T14:30:00UTC,HumanObservation,leptocylindrus,0.1111111111111111,Relative Abundance,2004-08-06T14:30:00UTC_leptocylindrus,present,Leptocylindrus,(urn:lsid:marinespecies.org:taxname:149038),NCBI:txid163515,Chromista
MDIBL-habs_22C_2004-08-06T14:30:00UTC,HumanObservation,nitzschia,0.2777777777777778,Relative Abundance,2004-08-06T14:30:00UTC_nitzschia,present,Nitzschia,(urn:lsid:marinespecies.org:taxname:149045),NCBI:txid2857,Chromista
MDIBL-habs_22D_2004-08-09T14:05:00UTC,HumanObservation,chaetoceros_spp,0.22727272727272727,Relative Abundance,2004-08-09T14:05:00UTC_chaetoceros_spp,present,NA,NA,NA,NA
MDIBL-habs_22D_2004-08-09T14:05:00UTC,HumanObservation,chaetoceros_socialis,0.09090909090909091,Relative Abundance,2004-08-09T14:05:00UTC_chaetoceros_socialis,present,Chaetoceros socialis,(urn:lsid:marinespecies.org:taxname:149123),NCBI:txid163503,Chromista
MDIBL-habs_22D_2004-08-09T14:05:00UTC,HumanObservation,dinophysis_spp,0.13636363636363635,Relative Abundance,2004-08-09T14:05:00UTC_dinophysis_spp,present,Dinophysis,(urn:lsid:marinespecies.org:taxname:109462),NCBI:txid47933,Chromista
MDIBL-habs_22D_2004-08-09T14:05:00UTC,HumanObservation,gonyaulax,0.09090909090909091,Relative Abundance,2004-08-09T14:05:00UTC_gonyaulax,present,Gonyaulax,(urn:lsid:marinespecies.org:taxname:109519),NCBI:txid2912,Chromista
MDIBL-habs_22D_2004-08-09T14:05:00UTC,HumanObservation,gyrosigma,0.045454545454545456,Relative Abundance,2004-08-09T14:05:00UTC_gyrosigma,present,NA,NA,NA,NA
MDIBL-habs_22D_2004-08-09T14:05:00UTC,HumanObservation,leptocylindrus,0.3181818181818182,Relative Abundance,2004-08-09T14:05:00UTC_leptocylindrus,present,Leptocylindrus,(urn:lsid:marinespecies.org:taxname:149038),NCBI:txid163515,Chromista
MDIBL-habs_22D_2004-08-09T14:05:00UTC,HumanObservation,navicula,0.045454545454545456,Relative Abundance,2004-08-09T14:05:00UTC_navicula,present,Navicula,(urn:lsid:marinespecies.org:taxname:149142),NCBI:txid50949,Chromista
MDIBL-habs_22D_2004-08-09T14:05:00UTC,HumanObservation,nitzschia,0.045454545454545456,Relative Abundance,2004-08-09T14:05:00UTC_nitzschia,present,Nitzschia,(urn:lsid:marinespecies.org:taxname:149045),NCBI:txid2857,Chromista
MDIBL-habs_21B_2004-08-10T15:15:00UTC,HumanObservation,alexandrium,0.09090909090909091,Relative Abundance,2004-08-10T15:15:00UTC_alexandrium,present,Alexandrium,(urn:lsid:marinespecies.org:taxname:109470),NCBI:txid2924,Chromista
MDIBL-habs_21B_2004-08-10T15:15:00UTC,HumanObservation,chaetoceros_spp,0.30303030303030304,Relative Abundance,2004-08-10T15:15:00UTC_chaetoceros_spp,present,NA,NA,NA,NA
MDIBL-habs_21B_2004-08-10T15:15:00UTC,HumanObservation,dinophysis_spp,0.15151515151515152,Relative Abundance,2004-08-10T15:15:00UTC_dinophysis_spp,present,Dinophysis,(urn:lsid:marinespecies.org:taxname:109462),NCBI:txid47933,Chromista
MDIBL-habs_21B_2004-08-10T15:15:00UTC,HumanObservation,gonyaulax,0.06060606060606061,Relative Abundance,2004-08-10T15:15:00UTC_gonyaulax,present,Gonyaulax,(urn:lsid:marinespecies.org:taxname:109519),NCBI:txid2912,Chromista
MDIBL-habs_21B_2004-08-10T15:15:00UTC,HumanObservation,leptocylindrus,0.21212121212121213,Relative Abundance,2004-08-10T15:15:00UTC_leptocylindrus,present,Leptocylindrus,(urn:lsid:marinespecies.org:taxname:149038),NCBI:txid163515,Chromista
MDIBL-habs_21B_2004-08-10T15:15:00UTC,HumanObservation,prorocentrum_lima,0.06060606060606061,Relative Abundance,2004-08-10T15:15:00UTC_prorocentrum_lima,present,Prorocentrum lima,(urn:lsid:marinespecies.org:taxname:110301),NCBI:txid39448,Chromista
MDIBL-habs_21B_2004-08-10T15:15:00UTC,HumanObservation,rhizosolenia,0.12121212121212122,Relative Abundance,2004-08-10T15:15:00UTC_rhizosolenia,present,Rhizosolenia,(urn:lsid:marinespecies.org:taxname:149069),NCBI:txid3004,Chromista
MDIBL-habs_21A_2004-08-10T15:45:00UTC,HumanObservation,alexandrium,0.038461538461538464,Relative Abundance,2004-08-10T15:45:00UTC_alexandrium,present,Alexandrium,(urn:lsid:marinespecies.org:taxname:109470),NCBI:txid2924,Chromista
MDIBL-habs_21A_2004-08-10T15:45:00UTC,HumanObservation,chaetoceros_spp,0.5,Relative Abundance,2004-08-10T15:45:00UTC_chaetoceros_spp,present,NA,NA,NA,NA
MDIBL-habs_21A_2004-08-10T15:45:00UTC,HumanObservation,chaetoceros_socialis,0.07692307692307693,Relative Abundance,2004-08-10T15:45:00UTC_chaetoceros_socialis,present,Chaetoceros socialis,(urn:lsid:marinespecies.org:taxname:149123),NCBI:txid163503,Chromista
MDIBL-habs_21A_2004-08-10T15:45:00UTC,HumanObservation,dinophysis_spp,0.09615384615384616,Relative Abundance,2004-08-10T15:45:00UTC_dinophysis_spp,present,Dinophysis,(urn:lsid:marinespecies.org:taxname:109462),NCBI:txid47933,Chromista
MDIBL-habs_21A_2004-08-10T15:45:00UTC,HumanObservation,gonyaulax,0.057692307692307696,Relative Abundance,2004-08-10T15:45:00UTC_gonyaulax,present,Gonyaulax,(urn:lsid:marinespecies.org:taxname:109519),NCBI:txid2912,Chromista
MDIBL-habs_21A_2004-08-10T15:45:00UTC,HumanObservation,leptocylindrus,0.17307692307692307,Relative Abundance,2004-08-10T15:45:00UTC_leptocylindrus,present,Leptocylindrus,(urn:lsid:marinespecies.org:taxname:149038),NCBI:txid163515,Chromista
MDIBL-habs_21A_2004-08-10T15:45:00UTC,HumanObservation,prorocentrum,0.057692307692307696,Relative Abundance,2004-08-10T15:45:00UTC_prorocentrum,present,Prorocentrum,(urn:lsid:marinespecies.org:taxname:109566),NCBI:txid2944,Chromista
MDIBL-habs_22G_2004-08-11T13:55:00UTC,HumanObservation,alexandrium,0.043478260869565216,Relative Abundance,2004-08-11T13:55:00UTC_alexandrium,present,Alexandrium,(urn:lsid:marinespecies.org:taxname:109470),NCBI:txid2924,Chromista
MDIBL-habs_22G_2004-08-11T13:55:00UTC,HumanObservation,chaetoceros_socialis,0.08695652173913043,Relative Abundance,2004-08-11T13:55:00UTC_chaetoceros_socialis,present,Chaetoceros socialis,(urn:lsid:marinespecies.org:taxname:149123),NCBI:txid163503,Chromista
MDIBL-habs_22G_2004-08-11T13:55:00UTC,HumanObservation,dinophysis_spp,0.6739130434782609,Relative Abundance,2004-08-11T13:55:00UTC_dinophysis_spp,present,Dinophysis,(urn:lsid:marinespecies.org:taxname:109462),NCBI:txid47933,Chromista
MDIBL-habs_22G_2004-08-11T13:55:00UTC,HumanObservation,gyrosigma,0.043478260869565216,Relative Abundance,2004-08-11T13:55:00UTC_gyrosigma,present,NA,NA,NA,NA
